feature	assembley
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	tRNA
tRNA	
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
CDS	with_protein
gene	protein_coding
