# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	1	594	-							BACT_0326	594		partial
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	1	594	-	KFI39626.1			regulator of chromosome condensation RCC1			BACT_0326	594	198	partial
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	1378	2382	+							BACT_0327	1005		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	1378	2382	+	KFI39627.1			auxin efflux carrier family transporter			BACT_0327	1005	334	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	2490	3275	-							BACT_0328	786		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	2490	3275	-	KFI39628.1			L-2,3-butanediol dehydrogenase/acetoin reductase			BACT_0328	786	261	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	3531	4931	+							BACT_0329	1401		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	3531	4931	+	KFI39629.1			xanthine/uracil permease family protein			BACT_0329	1401	466	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	5335	6345	-							BACT_0330	1011		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	5335	6345	-	KFI39630.1			putative secreted protein			BACT_0330	1011	336	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	6536	6892	-							BACT_0331	357		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	6536	6892	-	KFI39631.1			thioredoxin			BACT_0331	357	118	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	7047	7676	+							BACT_0332	630		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	7047	7676	+	KFI39632.1			ADP-ribose pyrophosphatase			BACT_0332	630	209	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	7883	8746	+							BACT_0333	864		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	7883	8746	+	KFI39633.1			alpha/beta hydrolase			BACT_0333	864	287	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	8774	9811	+							BACT_0334	1038		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	8774	9811	+	KFI39634.1			Phosphohydrolase (MutT/nudix family protein)			BACT_0334	1038	345	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	9964	11772	+							BACT_0335	1809		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	9964	11772	+	KFI39635.1			pro protein with putative peptidoglycan binding domain			BACT_0335	1809	602	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	11856	12266	+							BACT_0336	411		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	11856	12266	+	KFI39636.1			glycine cleavage system H protein			BACT_0336	411	136	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	12279	13511	+							BACT_0337	1233		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	12279	13511	+	KFI39637.1			hypothetical protein			BACT_0337	1233	410	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	13519	15999	+							BACT_0338	2481		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	13519	15999	+	KFI39638.1			protease II PtrB			BACT_0338	2481	826	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	16571	17341	+							BACT_0339	771		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	16571	17341	+	KFI39639.1			TM2 domain-containing protein			BACT_0339	771	256	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	17363	18598	+							BACT_0340	1236		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	17363	18598	+	KFI39640.1			biotin/lipoate A/B protein ligase family protein			BACT_0340	1236	411	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	18733	19449	+							BACT_0341	717		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	18733	19449	+	KFI39641.1			Crp family transcriptional regulator			BACT_0341	717	238	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	19527	21740	+							BACT_0342	2214		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	19527	21740	+	KFI39642.1			transglycosylase with Penicillin binding protein transpeptidase domain			BACT_0342	2214	737	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	22045	22851	+							BACT_0343	807		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	22045	22851	+	KFI39643.1			glycosyltransferase			BACT_0343	807	268	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	22958	23926	+							BACT_0344	969		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	22958	23926	+	KFI39644.1			DeoR-type transcriptional regulator			BACT_0344	969	322	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	23968	25260	+							BACT_0345	1293		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	23968	25260	+	KFI39645.1			Galactose-1-phosphate uridylyltransferase			BACT_0345	1293	430	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	25355	26614	+							BACT_0346	1260		
