# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	189	254	+					thrL		ECIAI39_RS00005	66		old_locus_tag=ECIAI39_4936
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	189	254	+	WP_001386572.1	WP_001386572.1		thr operon leader peptide	thrL		ECIAI39_RS00005	66	21	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	335	2797	+					thrA		ECIAI39_RS00010	2463		old_locus_tag=ECIAI39_0001
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	335	2797	+	WP_001264707.1	WP_001264707.1		bifunctional aspartate kinase/homoserine dehydrogenase I	thrA		ECIAI39_RS00010	2463	820	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2799	3731	+					thrB		ECIAI39_RS00015	933		old_locus_tag=ECIAI39_0002
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2799	3731	+	WP_000241660.1	WP_000241660.1		homoserine kinase	thrB		ECIAI39_RS00015	933	310	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	3732	5018	+					thrC		ECIAI39_RS00020	1287		old_locus_tag=ECIAI39_0003
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	3732	5018	+	WP_000781061.1	WP_000781061.1		threonine synthase	thrC		ECIAI39_RS00020	1287	428	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	5232	5528	+							ECIAI39_RS00025	297		old_locus_tag=ECIAI39_0004
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	5232	5528	+	WP_000738728.1	WP_000738728.1		DUF2502 domain-containing protein			ECIAI39_RS00025	297	98	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	5568	6344	-					yaaA		ECIAI39_RS00030	777		old_locus_tag=ECIAI39_0005
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	5568	6344	-	WP_000906193.1	WP_000906193.1		peroxide stress protein YaaA	yaaA		ECIAI39_RS00030	777	258	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	6414	7844	-					yaaJ		ECIAI39_RS00035	1431		old_locus_tag=ECIAI39_0006
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	6414	7844	-	WP_001112574.1	WP_001112574.1		sodium:alanine symporter family protein	yaaJ		ECIAI39_RS00035	1431	476	
