number, start position, stop position, strand, length
1, 16795, 18324,  + , 1530
2, 94, 1374,  + , 1281
3, 36424, 37599,  + , 1176
4, 64036, 65802,  + , 1767
5, 39070, 40428,  + , 1359
6, 68194, 69441,  + , 1248
7, 46087, 47238,  + , 1152
8, 88561, 90453,  + , 1893
9, 47383, 48870,  + , 1488
10, 106042, 107271,  + , 1230
11, 66274, 68748,  + , 2475
12, 107350, 109899,  + , 2550
13, 68968, 71217,  + , 2250
14, 111634, 113616,  + , 1983
15, 72757, 74178,  + , 1422
16, 119533, 120708,  + , 1176
17, 92893, 94041,  + , 1149
18, 147061, 148290,  + , 1230
19, 168823, 170067,  + , 1245
20, 169546, 171072,  + , 1527
21, 171904, 172911,  + , 1008
22, 177037, 178233,  + , 1197
23, 187507, 190581,  + , 3075
24, 178285, 179538,  + , 1254
25, 204898, 206496,  + , 1599
26, 202432, 203907,  + , 1476
27, 213562, 214914,  + , 1353
28, 223147, 225672,  + , 2526
29, 225784, 227241,  + , 1458
30, 229975, 231660,  + , 1686
31, 233326, 235848,  + , 2523
32, 236251, 237609,  + , 1359
33, 263722, 264738,  + , 1017
34, 262732, 265341,  + , 2610
35, 264751, 265758,  + , 1008
36, 268315, 269319,  + , 1005
37, 268507, 270144,  + , 1638
38, 283372, 286851,  + , 3480
39, 291550, 294693,  + , 3144
40, 299098, 303117,  + , 4020
41, 298954, 300204,  + , 1251
42, 363823, 365004,  + , 1182
43, 308281, 310170,  + , 1890
44, 403747, 405057,  + , 1311
45, 318454, 319671,  + , 1218
46, 405151, 406317,  + , 1167
47, 324610, 326064,  + , 1455
48, 406873, 408117,  + , 1245
49, 356353, 357405,  + , 1053
50, 417997, 419055,  + , 1059
51, 380719, 381789,  + , 1071
52, 431896, 433257,  + , 1362
53, 382396, 384408,  + , 2013
54, 469753, 471291,  + , 1539
55, 395119, 396342,  + , 1224
56, 473005, 474267,  + , 1263
57, 405070, 406332,  + , 1263
58, 477889, 479016,  + , 1128
59, 436285, 437442,  + , 1158
60, 485638, 488487,  + , 2850
61, 476896, 479391,  + , 2496
62, 488503, 489537,  + , 1035
63, 514144, 516093,  + , 1950
64, 508021, 509325,  + , 1305
65, 517441, 518562,  + , 1122
66, 510772, 511995,  + , 1224
67, 533290, 534723,  + , 1434
68, 515251, 516426,  + , 1176
69, 539632, 541038,  + , 1407
70, 528778, 530142,  + , 1365
71, 544189, 545361,  + , 1173
72, 532825, 533883,  + , 1059
73, 587503, 589143,  + , 1641
74, 566059, 567861,  + , 1803
75, 606559, 607977,  + , 1419
76, 622747, 624765,  + , 2019
77, 611461, 612510,  + , 1050
78, 645880, 646890,  + , 1011
79, 620542, 622017,  + , 1476
80, 647125, 648936,  + , 1812
81, 661570, 663480,  + , 1911
82, 694240, 696252,  + , 2013
83, 675289, 676509,  + , 1221
84, 698755, 700098,  + , 1344
85, 700636, 702564,  + , 1929
86, 702652, 705039,  + , 2388
87, 713869, 715275,  + , 1407
88, 730180, 731451,  + , 1272
89, 717070, 718074,  + , 1005
90, 732070, 733416,  + , 1347
91, 719917, 722103,  + , 2187
92, 739018, 740274,  + , 1257
93, 774148, 775521,  + , 1374
94, 746395, 747798,  + , 1404
95, 806767, 807810,  + , 1044
96, 754153, 755172,  + , 1020
97, 822118, 824043,  + , 1926
98, 758683, 759708,  + , 1026
99, 846235, 848163,  + , 1929
100, 802375, 804078,  + , 1704
101, 870091, 871980,  + , 1890
102, 814771, 817446,  + , 2676
103, 885670, 886821,  + , 1152
104, 821032, 824139,  + , 3108
105, 886825, 888198,  + , 1374
106, 836053, 837636,  + , 1584
107, 894169, 895875,  + , 1707
108, 843625, 845892,  + , 2268
109, 896545, 897627,  + , 1083
110, 848035, 849432,  + , 1398
111, 917968, 919341,  + , 1374
112, 640136, 641659,  + , 1524
113, 1143402, 1149281,  + , 5880
114, 642785, 645097,  + , 2313
115, 1150968, 1152734,  + , 1767
116, 749819, 750856,  + , 1038
117, 1155012, 1156127,  + , 1116
118, 761558, 762745,  + , 1188
119, 1240683, 1241684,  + , 1002
120, 806342, 807679,  + , 1338
121, 1248813, 1250183,  + , 1371
122, 824564, 825694,  + , 1131
123, 1265820, 1266893,  + , 1074
124, 885089, 886315,  + , 1227
125, 1285686, 1288109,  + , 2424
126, 888335, 889609,  + , 1275
127, 1317648, 1320512,  + , 2865
128, 924500, 925690,  + , 1191
129, 1338279, 1339529,  + , 1251
130, 925814, 927259,  + , 1446
131, 1363755, 1364894,  + , 1140
132, 934064, 935857,  + , 1794
133, 1364961, 1366157,  + , 1197
134, 935912, 938194,  + , 2283
135, 1386837, 1387898,  + , 1062
136, 996983, 998539,  + , 1557
137, 1387974, 1389794,  + , 1821
138, 998540, 999634,  + , 1095
139, 1390773, 1392410,  + , 1638
140, 1031390, 1032451,  + , 1062
141, 1393242, 1395914,  + , 2673
142, 1036208, 1038046,  + , 1839
143, 1398801, 1400123,  + , 1323
144, 1038077, 1039261,  + , 1185
145, 1466385, 1467398,  + , 1014
146, 1043474, 1044919,  + , 1446
147, 1474512, 1475954,  + , 1443
148, 1048892, 1050109,  + , 1218
149, 1538589, 1539782,  + , 1194
150, 1061222, 1062553,  + , 1332
151, 1543623, 1547216,  + , 3594
152, 1088948, 1090189,  + , 1242
153, 1553073, 1554173,  + , 1101
154, 1104848, 1106575,  + , 1728
155, 1563948, 1565372,  + , 1425
156, 1130972, 1133038,  + , 2067
157, 1571310, 1574423,  + , 3114
158, 1147112, 1148551,  + , 1440
159, 1575090, 1576670,  + , 1581
160, 1152959, 1154014,  + , 1056
161, 1582803, 1583903,  + , 1101
162, 1154018, 1155070,  + , 1053
163, 1586784, 1588325,  + , 1542
164, 117391, 118914,  + , 1524
165, 2677522, 2678889,  + , 1368
166, 191431, 192987,  + , 1557
167, 2694430, 2695764,  + , 1335
168, 202915, 204273,  + , 1359
169, 2715415, 2716641,  + , 1227
170, 220996, 222021,  + , 1026
171, 2733997, 2735331,  + , 1335
172, 238891, 240093,  + , 1203
173, 2736397, 2737437,  + , 1041
174, 253282, 255099,  + , 1818
175, 2756269, 2757705,  + , 1437
176, 294637, 295938,  + , 1302
177, 2771986, 2773503,  + , 1518
178, 295999, 297369,  + , 1371
179, 2774938, 2775945,  + , 1008
180, 317374, 318570,  + , 1197
181, 2832499, 2833689,  + , 1191
182, 321661, 323439,  + , 1779
183, 2854552, 2856177,  + , 1626
184, 334990, 336321,  + , 1332
185, 2862322, 2863461,  + , 1140
186, 354901, 356166,  + , 1266
187, 2868490, 2869947,  + , 1458
188, 357226, 358974,  + , 1749
189, 2888371, 2889555,  + , 1185
190, 360142, 362178,  + , 2037
191, 2889568, 2890986,  + , 1419
192, 362215, 363624,  + , 1410
193, 2901337, 2902806,  + , 1470
194, 402235, 403239,  + , 1005
195, 2943748, 2944764,  + , 1017
196, 418111, 419427,  + , 1317
197, 2952514, 2953755,  + , 1242
198, 451378, 452409,  + , 1032
199, 2968462, 2969838,  + , 1377
200, 467464, 468861,  + , 1398
201, 2983891, 2985330,  + , 1440
202, 473014, 474591,  + , 1578
203, 2996038, 2997495,  + , 1458
204, 475615, 476745,  + , 1131
205, 3014095, 3015573,  + , 1479
206, 494668, 496080,  + , 1413
207, 3021355, 3022521,  + , 1167
208, 496504, 497910,  + , 1407
209, 3041626, 3042708,  + , 1083
210, 498064, 499368,  + , 1305
211, 3069742, 3071532,  + , 1791
212, 506548, 508890,  + , 2343
213, 3078976, 3081003,  + , 2028
214, 550075, 551247,  + , 1173
215, 3101398, 3102438,  + , 1041
216, 603760, 604998,  + , 1239
217, 3107335, 3108798,  + , 1464
218, 608557, 610398,  + , 1842
219, 3116167, 3117657,  + , 1491
220, 617326, 618396,  + , 1071
221, 3173362, 3174642,  + , 1281
222, 622483, 623637,  + , 1155
223, 3179497, 3181563,  + , 2067
224, 631648, 632655,  + , 1008
225, 3186079, 3188301,  + , 2223
226, 662563, 663570,  + , 1008
227, 3200665, 3205233,  + , 4569
228, 663583, 665001,  + , 1419
229, 3205402, 3206529,  + , 1128
230, 679072, 680139,  + , 1068
231, 3231733, 3233121,  + , 1389
232, 689047, 690504,  + , 1458
233, 3240025, 3242169,  + , 2145
234, 707392, 708702,  + , 1311
235, 3242191, 3243567,  + , 1377
236, 721189, 722244,  + , 1056
237, 3247261, 3248586,  + , 1326
238, 731974, 733887,  + , 1914
239, 3252175, 3254277,  + , 2103
240, 737560, 738741,  + , 1182
241, 3254539, 3257082,  + , 2544
242, 799582, 801102,  + , 1521
243, 3311674, 3312804,  + , 1131
244, 810322, 811830,  + , 1509
245, 3325195, 3326346,  + , 1152
246, 816625, 818094,  + , 1470
247, 3332929, 3334239,  + , 1311
248, 828019, 829356,  + , 1338
249, 3351565, 3353214,  + , 1650
250, 837163, 838440,  + , 1278
251, 3369304, 3370875,  + , 1572
252, 840415, 841743,  + , 1329
253, 3386902, 3388116,  + , 1215
254, 871600, 872877,  + , 1278
255, 3389119, 3390615,  + , 1497
256, 876151, 877551,  + , 1401
257, 3408856, 3410187,  + , 1332
258, 887884, 889074,  + , 1191
259, 3419356, 3420381,  + , 1026
260, 889111, 890265,  + , 1155
261, 3421561, 3422607,  + , 1047
262, 900853, 902130,  + , 1278
263, 3425449, 3426741,  + , 1293
264, 913741, 915849,  + , 2109
265, 3445942, 3447126,  + , 1185
266, 916261, 917304,  + , 1044
267, 3463942, 3465108,  + , 1167
268, 926077, 927414,  + , 1338
269, 3488344, 3489528,  + , 1185
270, 935359, 937056,  + , 1698
271, 3531205, 3532290,  + , 1086
272, 956761, 958191,  + , 1431
273, 3542434, 3543621,  + , 1188
274, 995065, 996570,  + , 1506
275, 3559219, 3560403,  + , 1185
276, 1004671, 1008894,  + , 4224
277, 3563338, 3566025,  + , 2688
278, 1021078, 1022454,  + , 1377
279, 3568507, 3570105,  + , 1599
280, 1030108, 1031727,  + , 1620
281, 3575803, 3579507,  + , 3705
282, 1068937, 1071033,  + , 2097
283, 3585895, 3587235,  + , 1341
284, 1100257, 1101606,  + , 1350
285, 3587386, 3589035,  + , 1650
286, 1107628, 1109097,  + , 1470
287, 3621670, 3622677,  + , 1008
288, 1115515, 1117050,  + , 1536
289, 3647218, 3648282,  + , 1065
290, 1158151, 1159602,  + , 1452
291, 3650983, 3652629,  + , 1647
292, 1187509, 1188789,  + , 1281
293, 3653977, 3654981,  + , 1005
294, 1191097, 1193580,  + , 2484
295, 3665809, 3667263,  + , 1455
296, 1211251, 1212636,  + , 1386
297, 2506698, 2508044,  + , 1347
298, 2401700, 2403052,  + , 1353
299, 2516802, 2519498,  + , 2697
300, 2417249, 2418373,  + , 1125
301, 2522028, 2523128,  + , 1101
302, 2427692, 2428957,  + , 1266
303, 2527044, 2528162,  + , 1119
304, 2470898, 2472118,  + , 1221
305, 2553291, 2554460,  + , 1170
306, 2475935, 2477599,  + , 1665
307, 2574492, 2575715,  + , 1224
308, 2499746, 2501848,  + , 2103
309, 2592555, 2594612,  + , 2058
310, 2520644, 2521750,  + , 1107
311, 2594613, 2596043,  + , 1431
312, 2525225, 2527192,  + , 1968
313, 5556, 6572,  + , 1017
314, 5475, 7391,  + , 1917
315, 23211, 26027,  + , 2817
316, 8340, 9374,  + , 1035
317, 44640, 45971,  + , 1332
318, 9909, 11867,  + , 1959
319, 82641, 83669,  + , 1029
320, 12039, 13907,  + , 1869
321, 86280, 87350,  + , 1071
322, 16038, 17525,  + , 1488
323, 89784, 91100,  + , 1317
324, 19887, 21362,  + , 1476
325, 97140, 99845,  + , 2706
326, 23703, 24746,  + , 1044
327, 108375, 111038,  + , 2664
328, 30411, 33161,  + , 2751
329, 170613, 171809,  + , 1197
330, 36372, 38804,  + , 2433
331, 181128, 183269,  + , 2142
332, 39315, 40613,  + , 1299
333, 189303, 190715,  + , 1413
334, 51639, 54437,  + , 2799
335, 195009, 196565,  + , 1557
336, 64176, 65891,  + , 1716
337, 205746, 207047,  + , 1302
338, 67488, 68963,  + , 1476
339, 208476, 210467,  + , 1992
340, 73212, 74582,  + , 1371
341, 212718, 213827,  + , 1110
342, 76347, 78209,  + , 1863
343, 243330, 244598,  + , 1269
344, 108375, 109484,  + , 1110
345, 255042, 256133,  + , 1092
346, 154239, 155972,  + , 1734
347, 276117, 277259,  + , 1143
348, 163317, 164960,  + , 1644
349, 282882, 283943,  + , 1062
350, 203493, 205265,  + , 1773
351, 301815, 303122,  + , 1308
352, 205281, 206432,  + , 1152
353, 306672, 308339,  + , 1668
354, 206442, 207701,  + , 1260
355, 340866, 343412,  + , 2547
356, 233754, 234977,  + , 1224
357, 362997, 364181,  + , 1185
358, 245298, 247403,  + , 2106
359, 371715, 373310,  + , 1596
360, 256926, 258644,  + , 1719
361, 391587, 393266,  + , 1680
362, 282111, 283775,  + , 1665
363, 393708, 395114,  + , 1407
364, 325581, 328382,  + , 2802
365, 406800, 408470,  + , 1671
366, 342432, 344003,  + , 1572
367, 408486, 409625,  + , 1140
368, 346164, 347399,  + , 1236
369, 409755, 411050,  + , 1296
370, 349872, 350915,  + , 1044
371, 429456, 431480,  + , 2025
372, 361866, 363020,  + , 1155
373, 458208, 459293,  + , 1086
374, 367737, 368753,  + , 1017
375, 469539, 470657,  + , 1119
376, 369951, 371543,  + , 1593
377, 486108, 488534,  + , 2427
378, 375912, 377027,  + , 1116
379, 503586, 504800,  + , 1215
380, 398433, 399458,  + , 1026
381, 512319, 514667,  + , 2349
382, 412044, 413048,  + , 1005
383, 515589, 519281,  + , 3693
384, 413868, 415928,  + , 2061
385, 520728, 522428,  + , 1701
386, 455217, 456341,  + , 1125
387, 526986, 528026,  + , 1041
388, 459591, 460664,  + , 1074
389, 557172, 558311,  + , 1140
390, 473739, 475157,  + , 1419
391, 558366, 559760,  + , 1395
392, 477987, 479207,  + , 1221
393, 578505, 579671,  + , 1167
394, 491688, 492746,  + , 1059
395, 615402, 616586,  + , 1185
396, 540378, 542207,  + , 1830
397, 636498, 638207,  + , 1710
398, 569106, 570188,  + , 1083
399, 650511, 651551,  + , 1041
400, 570213, 571772,  + , 1560
401, 666771, 667919,  + , 1149
402, 577950, 579050,  + , 1101
403, 667926, 670373,  + , 2448
404, 618504, 620600,  + , 2097
405, 723132, 724511,  + , 1380
406, 626355, 627605,  + , 1251
407, 746127, 747662,  + , 1536
408, 634647, 636005,  + , 1359
409, 775911, 777347,  + , 1437
410, 638700, 641078,  + , 2379
411, 846564, 847673,  + , 1110
412, 650325, 651632,  + , 1308
413, 851265, 852344,  + , 1080
414, 655722, 656750,  + , 1029
415, 852486, 853832,  + , 1347
416, 658782, 660593,  + , 1812
417, 869955, 871541,  + , 1587
418, 668400, 669620,  + , 1221
419, 883710, 884957,  + , 1248
420, 674520, 676043,  + , 1524
421, 889422, 890645,  + , 1224
422, 688770, 690371,  + , 1602
423, 926196, 927278,  + , 1083
424, 707226, 708764,  + , 1539
425, 931668, 932681,  + , 1014
426, 722511, 723515,  + , 1005
427, 956736, 957785,  + , 1050
428, 724140, 726779,  + , 2640
429, 999057, 1000337,  + , 1281
430, 733188, 734480,  + , 1293
431, 1002099, 1003151,  + , 1053
432, 735297, 736352,  + , 1056
433, 1014081, 1015088,  + , 1008
434, 737217, 738851,  + , 1635
435, 1042605, 1045244,  + , 2640
436, 752502, 753893,  + , 1392
437, 1071324, 1073735,  + , 2412
438, 797634, 798656,  + , 1023
439, 1101306, 1102439,  + , 1134
440, 457038, 458561,  + , 1524
441, 1513599, 1514654,  + , 1056
442, 503094, 504590,  + , 1497
443, 1519716, 1521143,  + , 1428
444, 505986, 508937,  + , 2952
445, 1522227, 1523381,  + , 1155
446, 531279, 532430,  + , 1152
447, 1551420, 1552466,  + , 1047
448, 540186, 543695,  + , 3510
449, 1563702, 1564826,  + , 1125
450, 577287, 578525,  + , 1239
451, 1568361, 1569479,  + , 1119
452, 661137, 663299,  + , 2163
453, 1583475, 1584584,  + , 1110
454, 673800, 674945,  + , 1146
455, 1592445, 1593518,  + , 1074
456, 756141, 757382,  + , 1242
457, 1620636, 1621817,  + , 1182
458, 758574, 760049,  + , 1476
459, 1634739, 1636499,  + , 1761
460, 762033, 763793,  + , 1761
461, 1696947, 1699232,  + , 2286
462, 771081, 772709,  + , 1629
463, 1700403, 1701668,  + , 1266
464, 785385, 787367,  + , 1983
465, 1707468, 1708568,  + , 1101
466, 793161, 794369,  + , 1209
467, 1737663, 1739807,  + , 2145
468, 794538, 796079,  + , 1542
469, 1765965, 1768031,  + , 2067
470, 815271, 816617,  + , 1347
471, 1768398, 1769645,  + , 1248
472, 830004, 831341,  + , 1338
473, 1789128, 1790825,  + , 1698
474, 881040, 882425,  + , 1386
475, 1825935, 1827062,  + , 1128
476, 891480, 893498,  + , 2019
477, 1831668, 1833428,  + , 1761
478, 961428, 962843,  + , 1416
479, 1844706, 1845821,  + , 1116
