number,start,end,strand,length
1,292,2796,+,2505
2,2798,3730,+,933
3,3731,5017,+,1287
4,8272,9075,+,804
5,12100,13962,+,1863
6,14021,15181,+,1161
7,16830,18323,+,1494
8,18417,19697,+,1281
9,19949,21115,+,1167
10,21157,22080,+,924
11,29698,30558,+,861
12,30601,33417,+,2817
13,34450,35400,+,951
14,36547,37368,+,822
15,37842,38972,+,1131
16,38990,42211,+,3222
17,42367,42867,+,501
18,43459,43983,+,525
19,46474,47067,+,594
20,50545,51378,+,834
21,51453,52334,+,882
22,52640,53671,+,1032
23,54304,55344,+,1041
24,56392,57837,+,1446
25,62813,63337,+,525
26,66110,66946,+,837
27,67020,67550,+,531
28,67802,68377,+,576
29,70250,71446,+,1197
30,76130,77287,+,1158
31,79193,79873,+,681
32,80717,81235,+,519
33,81876,82583,+,708
34,87170,87733,+,564
35,94507,95535,+,1029
36,95707,97575,+,1869
37,98282,99253,+,972
38,100315,101256,+,942
39,101634,103400,+,1767
40,103402,104874,+,1473
41,105219,106229,+,1011
42,106334,107305,+,972
43,107308,108624,+,1317
44,108651,109868,+,1218
45,109892,110932,+,1041
46,110986,112461,+,1476
47,112478,113374,+,897
48,113376,114206,+,831
49,114296,115465,+,1170
50,115539,116678,+,1140
51,116779,117696,+,918
52,118561,121206,+,2646
53,123547,124590,+,1044
54,127670,128185,+,516
55,128836,129387,+,552
56,129408,130238,+,831
57,132258,132959,+,702
58,133120,135783,+,2664
59,135798,137690,+,1893
60,137835,139322,+,1488
61,139555,140055,+,501
62,141448,144198,+,2751
63,147035,148618,+,1584
64,151186,151797,+,612
65,152609,153535,+,927
66,153550,154302,+,753
67,155517,156140,+,624
68,156984,157730,+,747
69,161071,161589,+,519
70,173907,176018,+,2112
71,176481,178646,+,2166
72,178866,181115,+,2250
73,181124,181963,+,840
74,182008,182853,+,846
75,183003,184832,+,1830
76,186477,187793,+,1317
77,190970,192019,+,1050
78,192260,193573,+,1314
79,193710,194885,+,1176
80,200283,201116,+,834
81,201251,202102,+,852
82,202249,202974,+,726
83,203124,203681,+,558
84,204208,204969,+,762
85,205161,205916,+,756
86,205929,206786,+,858
87,206798,208150,+,1353
88,208180,210612,+,2433
89,211223,212248,+,1026
90,212260,212808,+,549
91,212812,213600,+,789
92,214026,214748,+,723
93,215378,218860,+,3483
94,218873,219832,+,960
95,219931,222072,+,2142
96,222631,223881,+,1251
97,226897,227808,+,912
98,227844,228452,+,609
99,229915,231327,+,1413
100,241110,242330,+,1221
101,242353,245151,+,2799
102,248186,248701,+,516
103,248778,249287,+,510
104,249445,251001,+,1557
105,252822,253766,+,945
106,260740,262455,+,1716
107,262652,263215,+,564
108,265388,266152,+,765
109,267827,268909,+,1083
110,272102,272614,+,513
111,273912,274490,+,579
112,274738,276009,+,1272
113,276469,277416,+,948
114,277615,279429,+,1815
115,279434,280033,+,600
116,280374,281264,+,891
117,283699,285048,+,1350
118,285835,286746,+,912
119,287332,288408,+,1077
